checking_hour,hour,day_of_week,date,room,status
12,12:00pm,Thursday, October 13,257,Unavailable
12,12:15pm,Thursday, October 13,257,Unavailable
12,12:30pm,Thursday, October 13,257,Unavailable
12,12:45pm,Thursday, October 13,257,Unavailable
12,1:00pm,Thursday, October 13,257,Unavailable
12,1:15pm,Thursday, October 13,257,Unavailable
12,1:30pm,Thursday, October 13,257,Unavailable
12,1:45pm,Thursday, October 13,257,Unavailable
12,2:00pm,Thursday, October 13,257,Unavailable
12,2:15pm,Thursday, October 13,257,Unavailable
12,2:30pm,Thursday, October 13,257,Unavailable
12,2:45pm,Thursday, October 13,257,Unavailable
12,3:00pm,Thursday, October 13,257,Unavailable
12,3:15pm,Thursday, October 13,257,Unavailable
12,3:30pm,Thursday, October 13,257,Unavailable
12,3:45pm,Thursday, October 13,257,Unavailable
12,4:00pm,Thursday, October 13,257,Unavailable
12,4:15pm,Thursday, October 13,257,Unavailable
12,4:30pm,Thursday, October 13,257,Unavailable
12,4:45pm,Thursday, October 13,257,Unavailable
12,5:00pm,Thursday, October 13,257,Unavailable
12,5:15pm,Thursday, October 13,257,Unavailable
12,5:30pm,Thursday, October 13,257,Unavailable
12,5:45pm,Thursday, October 13,257,Unavailable
12,6:00pm,Thursday, October 13,257,Unavailable
12,6:15pm,Thursday, October 13,257,Unavailable
12,6:30pm,Thursday, October 13,257,Unavailable
12,6:45pm,Thursday, October 13,257,Unavailable
12,7:00pm,Thursday, October 13,257,Unavailable
12,7:15pm,Thursday, October 13,257,Unavailable
12,7:30pm,Thursday, October 13,257,Unavailable
12,7:45pm,Thursday, October 13,257,Unavailable
12,8:00pm,Thursday, October 13,257,Unavailable
12,8:15pm,Thursday, October 13,257,Unavailable
12,8:30pm,Thursday, October 13,257,Unavailable
12,8:45pm,Thursday, October 13,257,Unavailable
12,9:00pm,Thursday, October 13,257,Unavailable
12,9:15pm,Thursday, October 13,257,Unavailable
12,9:30pm,Thursday, October 13,257,Unavailable
12,9:45pm,Thursday, October 13,257,Unavailable
12,10:00pm,Thursday, October 13,257,Unavailable
12,10:15pm,Thursday, October 13,257,Unavailable
12,10:30pm,Thursday, October 13,257,Unavailable
12,10:45pm,Thursday, October 13,257,Available
12,11:00pm,Thursday, October 13,257,Available
12,11:15pm,Thursday, October 13,257,Available
12,11:30pm,Thursday, October 13,257,Available
12,11:45pm,Thursday, October 13,257,Available
12,12:00pm,Thursday, October 13,258,Unavailable
12,12:15pm,Thursday, October 13,258,Unavailable
12,12:30pm,Thursday, October 13,258,Unavailable
12,12:45pm,Thursday, October 13,258,Unavailable
12,1:00pm,Thursday, October 13,258,Unavailable
12,1:15pm,Thursday, October 13,258,Unavailable
12,1:30pm,Thursday, October 13,258,Unavailable
12,1:45pm,Thursday, October 13,258,Unavailable
12,2:00pm,Thursday, October 13,258,Unavailable
12,2:15pm,Thursday, October 13,258,Unavailable
12,2:30pm,Thursday, October 13,258,Unavailable
12,2:45pm,Thursday, October 13,258,Unavailable
12,3:00pm,Thursday, October 13,258,Unavailable
12,3:15pm,Thursday, October 13,258,Unavailable
12,3:30pm,Thursday, October 13,258,Unavailable
12,3:45pm,Thursday, October 13,258,Unavailable
12,4:00pm,Thursday, October 13,258,Unavailable
12,4:15pm,Thursday, October 13,258,Unavailable
12,4:30pm,Thursday, October 13,258,Unavailable
12,4:45pm,Thursday, October 13,258,Unavailable
12,5:00pm,Thursday, October 13,258,Unavailable
12,5:15pm,Thursday, October 13,258,Unavailable
12,5:30pm,Thursday, October 13,258,Unavailable
12,5:45pm,Thursday, October 13,258,Unavailable
12,6:00pm,Thursday, October 13,258,Unavailable
12,6:15pm,Thursday, October 13,258,Unavailable
12,6:30pm,Thursday, October 13,258,Unavailable
12,6:45pm,Thursday, October 13,258,Unavailable
12,7:00pm,Thursday, October 13,258,Unavailable
12,7:15pm,Thursday, October 13,258,Unavailable
12,7:30pm,Thursday, October 13,258,Unavailable
12,7:45pm,Thursday, October 13,258,Unavailable
12,8:00pm,Thursday, October 13,258,Unavailable
12,8:15pm,Thursday, October 13,258,Unavailable
12,8:30pm,Thursday, October 13,258,Unavailable
12,8:45pm,Thursday, October 13,258,Unavailable
12,9:00pm,Thursday, October 13,258,Unavailable
12,9:15pm,Thursday, October 13,258,Available
12,9:30pm,Thursday, October 13,258,Available
