checking_hour,hour,day_of_week,date,room,status
16,4:00pm,Tuesday, October 11,257,Unavailable
16,4:15pm,Tuesday, October 11,257,Unavailable
16,4:30pm,Tuesday, October 11,257,Unavailable
16,4:45pm,Tuesday, October 11,257,Unavailable
16,5:00pm,Tuesday, October 11,257,Unavailable
16,5:15pm,Tuesday, October 11,257,Unavailable
16,5:30pm,Tuesday, October 11,257,Unavailable
16,5:45pm,Tuesday, October 11,257,Unavailable
16,6:00pm,Tuesday, October 11,257,Unavailable
16,6:15pm,Tuesday, October 11,257,Unavailable
16,6:30pm,Tuesday, October 11,257,Unavailable
16,6:45pm,Tuesday, October 11,257,Unavailable
16,7:00pm,Tuesday, October 11,257,Unavailable
16,7:15pm,Tuesday, October 11,257,Unavailable
16,7:30pm,Tuesday, October 11,257,Unavailable
16,7:45pm,Tuesday, October 11,257,Unavailable
16,8:00pm,Tuesday, October 11,257,Unavailable
16,8:15pm,Tuesday, October 11,257,Unavailable
16,8:30pm,Tuesday, October 11,257,Unavailable
16,8:45pm,Tuesday, October 11,257,Unavailable
16,9:00pm,Tuesday, October 11,257,Unavailable
16,9:15pm,Tuesday, October 11,257,Unavailable
16,9:30pm,Tuesday, October 11,257,Unavailable
16,9:45pm,Tuesday, October 11,257,Unavailable
16,10:00pm,Tuesday, October 11,257,Unavailable
16,10:15pm,Tuesday, October 11,257,Unavailable
16,10:30pm,Tuesday, October 11,257,Available
16,10:45pm,Tuesday, October 11,257,Available
16,11:00pm,Tuesday, October 11,257,Available
16,11:15pm,Tuesday, October 11,257,Available
16,11:30pm,Tuesday, October 11,257,Available
16,11:45pm,Tuesday, October 11,257,Available
16,4:00pm,Tuesday, October 11,258,Unavailable
16,4:15pm,Tuesday, October 11,258,Unavailable
16,4:30pm,Tuesday, October 11,258,Unavailable
16,4:45pm,Tuesday, October 11,258,Unavailable
16,5:00pm,Tuesday, October 11,258,Unavailable
16,5:15pm,Tuesday, October 11,258,Unavailable
16,5:30pm,Tuesday, October 11,258,Unavailable
16,5:45pm,Tuesday, October 11,258,Unavailable
16,6:00pm,Tuesday, October 11,258,Unavailable
16,6:15pm,Tuesday, October 11,258,Unavailable
16,6:30pm,Tuesday, October 11,258,Unavailable
16,6:45pm,Tuesday, October 11,258,Unavailable
16,7:00pm,Tuesday, October 11,258,Unavailable
